Servo,Yaw Setpoint,Pitch -20,Pitch -15,Pitch -10,Pitch -5,Pitch 0,Pitch 5,Pitch 10,Pitch 15,Pitch 20
Top,-20,-1.306221,5.164407,11.298533,17.210218,23.018482,16.95216,11.170965,5.554293,0
Top,-15,-6.744026,-0.423434,5.579505,11.3642,16.95216,11.3642,5.711151,-0.155048,-5.272502
Top,-10,-12.11768,-5.909759,0,5.711151,11.170965,5.512334,0,-5.711151,-10.928924
Top,-5,-17.492678,-11.368308,-5.512334,0.155048,5.541829,-0.155048,-5.711151,-11.3642,-16.753008
Top,0,-23.018482,-16.753008,-10.928924,-5.272502,0,5.272502,10.928924,16.753008,23.018482
Top,5,-16.753008,-11.3642,-5.711151,-0.155048,-5.554293,-0.155048,5.512334,11.368308,17.492678
Top,10,-11.170965,-5.711151,0,5.512334,-11.170965,-5.711151,0,5.909759,12.11768
Top,15,-5.554293,0.155048,5.711151,11.3642,-16.95216,-11.3642,-5.579505,0.423434,6.744026
Top,20,0,5.554293,11.170965,16.95216,-23.018482,-17.210218,-11.298533,-5.164407,1.306221
,,,,,,,,,,
Bottom,-20,-42.129333,-36.747015,-31.198556,-25.576657,-20.467741,-15.836313,-10.753458,-5.420747,0
Bottom,-15,-37.334843,-32.062079,-26.586062,-21.008485,-15.836313,-21.008485,-15.937261,-10.598426,-5.498094
Bottom,-10,-31.979404,-26.824999,-21.443005,-15.937261,-10.753458,-21.443005,-21.443005,-15.937261,-10.949558
Bottom,-5,-26.390838,-21.336456,-16.038791,-10.598426,-5.420747,-10.598426,-15.937261,-21.008485,-16.268496
Bottom,0,-21.364376,-16.268496,-10.949558,-5.498094,0,5.498094,10.949558,16.268496,21.364376
Bottom,5,-16.268496,-21.008485,-15.937261,-10.598426,5.420747,10.598426,16.038791,21.336456,26.390838
Bottom,10,-10.949558,-15.937261,-21.443005,-21.443005,10.753458,15.937261,21.443005,26.824999,31.979404
Bottom,15,-5.498094,-10.598426,-15.937261,-21.008485,15.836313,21.008485,26.586062,32.062079,37.334843
Bottom,20,0,-5.420747,-10.753458,-15.836313,20.467741,25.576657,31.198556,36.747015,42.129333
